"","IFA","decade","group","dom_habitat","ecogroup"
"624","84","196",2,NA,"habNA_grp2"
"625","84","198",3,NA,"habNA_grp3"
"626","84","197",2,NA,"habNA_grp2"
"627","8449","196",2,NA,"habNA_grp2"
"628","846","199",1,4,"hab4_grp1"
"629","846","200",1,4,"hab4_grp1"
"630","8574","197",1,8,"hab8_grp1"
"631","8574","199",1,8,"hab8_grp1"
"632","8574","198",1,8,"hab8_grp1"
"633","8605","196",2,3,"hab3_grp2"
"634","8803","197",2,NA,"habNA_grp2"
"635","8826","197",1,8,"hab8_grp1"
"636","8826","200",1,8,"hab8_grp1"
"637","8826","198",3,8,"hab8_grp3"
"638","883","196",3,NA,"habNA_grp3"
"639","883","197",2,NA,"habNA_grp2"
"640","90","196",2,NA,"habNA_grp2"
"641","90","197",2,NA,"habNA_grp2"
"642","90","199",2,NA,"habNA_grp2"
"643","90","201",1,NA,"habNA_grp1"
"644","90","198",2,NA,"habNA_grp2"
"645","90","200",2,NA,"habNA_grp2"
"646","9083","198",1,8,"hab8_grp1"
"647","910","200",1,8,"hab8_grp1"
"648","924","196",1,NA,"habNA_grp1"
"649","924","197",1,NA,"habNA_grp1"
"650","924","200",1,NA,"habNA_grp1"
"651","93","196",2,NA,"habNA_grp2"
"652","93","197",2,NA,"habNA_grp2"
"653","9358","200",2,3,"hab3_grp2"
"654","943","197",2,NA,"habNA_grp2"
"655","945","197",1,NA,"habNA_grp1"
"656","9474","198",3,3,"hab3_grp3"
"657","9474","200",2,3,"hab3_grp2"
"658","9474","197",2,3,"hab3_grp2"
"659","9474","196",2,3,"hab3_grp2"
"660","9497","198",1,4,"hab4_grp1"
"661","95","197",2,NA,"habNA_grp2"
"662","952","200",1,8,"hab8_grp1"
"663","953","199",1,1,"hab1_grp1"
"664","958","197",2,NA,"habNA_grp2"
"665","9584","198",3,3,"hab3_grp3"
"666","9584","200",2,3,"hab3_grp2"
"667","9617","198",3,3,"hab3_grp3"
"668","9617","200",2,3,"hab3_grp2"
"669","9676","200",2,3,"hab3_grp2"
"670","97","196",2,NA,"habNA_grp2"
"671","97","197",2,NA,"habNA_grp2"
"672","97","198",2,NA,"habNA_grp2"
"673","981","197",1,8,"hab8_grp1"
"674","9822","196",2,NA,"habNA_grp2"
"675","9822","200",1,NA,"habNA_grp1"
"676","9856","198",3,NA,"habNA_grp3"
"677","9920","197",1,NA,"habNA_grp1"
"678","9948","196",2,3,"hab3_grp2"
"679","995","199",1,1,"hab1_grp1"
"680","9966","198",3,3,"hab3_grp3"
"681","9984","198",2,NA,"habNA_grp2"
