,IFA,dom_habitat,decade,X1,X2,count,percent,grp_count,grp_percent,ACBR_Name,ecogroup
64,13485,8,200,0.086703823,0.226548556,1;2,2,NA,7,Central south Antarctic Peninsula,hab8_asmNA
65,13488,8,196,0.115525443,-0.081713749,1,18,5,5,Central south Antarctic Peninsula,hab8_asm5
66,13510,8,197,0.070065031,0.566115614,2,2,7,7,Central south Antarctic Peninsula,hab8_asm7
67,13626,8,199,-0.181220516,0.224152662,1,9,5,5,Central south Antarctic Peninsula,hab8_asm5
68,1370,3,198,-0.477124512,0.351723361,2,2,4,4,North-east Antarctic Peninsula,hab3_asm4
69,13747,3,197,0.058317282,0.481056907,2,2,7,7,Central south Antarctic Peninsula,hab3_asm7
70,13793,8,199,-0.142965298,0.27352511,5,12,4,3,Central south Antarctic Peninsula,hab8_asm4
71,1388,1,199,-0.011879119,-0.107028047,4,13,3,7,Dronning Maud Land,hab1_asm3
72,13929,3,197,0.118342381,0.110995747,5,17,5,5,Central south Antarctic Peninsula,hab3_asm5
73,1399,1,199,-0.164099776,-0.147961832,4,13,3,7,Dronning Maud Land,hab1_asm3
74,143,1,199,0.361171018,-0.099031564,2,2,7,7,Dronning Maud Land,hab1_asm7
75,144,1,199,0.417032857,-0.047278563,2,2,7,7,Dronning Maud Land,hab1_asm7
76,14445,8,199,0.283936292,0.149913078,2,2,7,7,Prince Charles Mountains,hab8_asm7
77,14453,4,200,0.124863487,0.53771861,2,2,7,7,South Antarctic Peninsula,hab4_asm7
78,14626,3,199,-0.320148272,0.120825747,5,5,4,4,Central south Antarctic Peninsula,hab3_asm4
79,14713,4,200,0.133239472,0.385055607,2,2,7,7,South Antarctic Peninsula,hab4_asm7
80,14722,8,197,0.527240325,0.140868146,2,2,7,7,East Antarctica,hab8_asm7
81,14725,7,199,-0.000767636,-0.179036763,4,4,3,3,East Antarctica,hab7_asm3
82,14725,7,197,0.462913922,0.044878428,2,2,7,7,East Antarctica,hab7_asm7
83,14725,7,198,0.253503684,-0.088744875,3,9,7,,East Antarctica,hab7_asm7
84,1474,3,198,-0.122252117,-0.355160446,3,9,7,,North-west Antarctic Peninsula,hab3_asm7
85,14747,8,198,0.154365018,-0.284968558,3,3,7,7,East Antarctica,hab8_asm7
86,14761,8,199,0.250921963,-0.12013959,4,4,3,3,East Antarctica,hab8_asm3
87,14761,8,200,-0.174155229,-0.051998283,2,2,7,7,East Antarctica,hab8_asm7
88,14761,8,198,0.233255824,-0.194905265,3,3,7,7,East Antarctica,hab8_asm7
89,14770,4,200,0.009775761,0.295051951,2,2,7,7,South Antarctic Peninsula,hab4_asm7
90,148,1,199,0.429480669,-0.036275356,2,2,7,7,Dronning Maud Land,hab1_asm7
91,14800,1,199,0.002034282,0.131288723,3,3,5,5,South Antarctic Peninsula,hab1_asm5
92,14866,4,200,0.146787974,0.461857164,2,2,7,7,South Antarctic Peninsula,hab4_asm7
93,14960,8,197,0.536956695,0.106593874,2,2,7,7,East Antarctica,hab8_asm7
94,14960,8,198,0.25949563,-0.178428117,3,3,7,7,East Antarctica,hab8_asm7
95,14960,8,199,0.362417438,-0.047157108,2,4,7,3,East Antarctica,hab8_asm7
96,14960,8,200,-0.318491759,0.169993463,2,19,7,,East Antarctica,hab8_asm7
97,14990,4,200,0.079183016,0.384196923,2,2,7,7,South Antarctic Peninsula,hab4_asm7
98,1501,3,198,-0.444302794,0.301045196,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
99,15027,4,196,-0.111300298,-0.116132261,15,15,7,7,South Antarctic Peninsula,hab4_asm7
100,15039,8,198,0.372182721,-0.093370842,3,3,7,7,East Antarctica,hab8_asm7
101,15091,4,200,0.145376404,0.381836585,2,2,7,7,South Antarctic Peninsula,hab4_asm7
102,151,1,200,-0.314949677,-0.002212555,3,3,3,3,Dronning Maud Land,hab1_asm3
103,1514,3,198,-0.117871062,-0.402268169,1,9,5,,North-west Antarctic Peninsula,hab3_asm5
104,1524,3,201,-0.065352615,0.044971752,1;2,2,1,1,North-west Antarctic Peninsula,hab3_asm1
105,1547,8,196,0.091110641,-0.11412713,1,1,5,5,Enderby Land,hab8_asm5
106,1547,8,200,-0.291216313,-0.14267404,2,7,7,1,Enderby Land,hab8_asm7
107,1548,3,198,-0.189045727,-0.304765339,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
108,1553,3,198,-0.203642355,-0.420662576,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
109,1553,3,200,-0.008926519,-0.072432291,9,9,1,1,North-west Antarctic Peninsula,hab3_asm1
110,1556,3,198,-0.129325452,-0.336681734,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
111,156,1,199,0.325584312,0.012582416,2,2,7,7,Dronning Maud Land,hab1_asm7
112,1569,3,198,-0.212740951,-0.44112433,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
113,1575,3,197,0.036737395,-0.170602415,3,3,7,7,North-west Antarctic Peninsula,hab3_asm7
114,1575,3,200,0.248708336,0.201622431,1,11,5,6,North-west Antarctic Peninsula,hab3_asm5
115,1575,3,198,-0.233763478,-0.367040851,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
116,1575,3,196,0.21842266,0.002647882,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
117,15968,8,200,-0.30829899,0.012744542,3,3,3,3,East Antarctica,hab8_asm3
118,15968,8,199,0.184402435,-0.055297823,2,2,7,7,East Antarctica,hab8_asm7
119,1603,8,200,-0.056952538,0.227343046,2,7,7,1,Enderby Land,hab8_asm7
120,16031,8,196,-0.013295728,-0.121559329,16,16,NA,,Ellsworth Land,hab8_asmNA
121,16035,8,198,0.168003393,-0.097530811,3,3,7,7,Ellsworth Land,hab8_asm7
122,16058,3,198,0.401894509,0.239454431,3,3,7,7,Ellsworth Land,hab3_asm7
123,1607,3,198,-0.169016913,-0.224421667,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
124,1607,3,196,0.25794956,0.012160911,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
125,16111,8,198,0.339167024,0.109401249,3,3,7,7,Ellsworth Land,hab8_asm7
126,1613,3,198,-0.211101649,-0.412910838,2,2,4,4,North-west Antarctic Peninsula,hab3_asm4
127,1613,3,196,0.292329783,-0.112679245,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
128,16142,3,200,0.261627083,0.291278214,2,2,7,7,Ellsworth Land,hab3_asm7
129,16152,8,198,0.237740268,0.113945567,3,3,7,7,Ellsworth Land,hab8_asm7
130,1629,3,197,-0.158628991,-0.325200572,1,10;14,5,4,North-west Antarctic Peninsula,hab3_asm5
131,1629,3,198,-0.167638961,-0.516906064,2,11,4,3,North-west Antarctic Peninsula,hab3_asm4
132,1629,3,200,-0.046383802,-0.403488242,6;7,6,NA,4,North-west Antarctic Peninsula,hab3_asmNA
133,1629,3,201,0.085134226,-0.092005364,NA,NA,NA,,North-west Antarctic Peninsula,hab3_asmNA
134,1629,3,199,-0.382296625,-0.333291058,4,6,3,1,North-west Antarctic Peninsula,hab3_asm3
135,16340,1,199,0.008425974,-0.103347312,16,16,NA,,Transantarctic Mountains,hab1_asmNA
136,16639,8,200,0.10721432,0.324346858,2,10,7,,East Antarctica,hab8_asm7
137,16968,8,198,0.360925087,0.086027129,3,10,7,2,East Antarctica,hab8_asm7
138,16968,8,200,0.001145536,0.03544549,4,4,NA,,East Antarctica,hab8_asmNA
139,1699,3,200,-0.021278215,-0.26964491,6,6,4,4,North-west Antarctic Peninsula,hab3_asm4
140,1702,1,196,-0.067993744,-0.167031101,1,15;19,5,7,Dronning Maud Land,hab1_asm5
141,17032,8,200,0.298001601,0.467423975,2,2,7,7,East Antarctica,hab8_asm7
142,17044,8,200,-0.12151544,-0.008693963,2,2,7,7,East Antarctica,hab8_asm7
143,1714,3,198,-0.264215829,0.371299761,2,14,4,1,North-east Antarctic Peninsula,hab3_asm4
144,1714,3,196,0.05012231,0.250566095,1,5,5,4,North-east Antarctic Peninsula,hab3_asm5
145,1726,3,196,0.167870991,0.26232763,1,5,5,4,North-west Antarctic Peninsula,hab3_asm5
146,1726,3,198,-0.211516007,-0.039565331,7,7;14,1,1,North-west Antarctic Peninsula,hab3_asm1
147,1726,3,197,-0.154387089,-0.078507345,1;15;18,15;18,5,,North-west Antarctic Peninsula,hab3_asm5
148,1734,3,200,0.117903831,-0.1146747,1,10,5,,North-west Antarctic Peninsula,hab3_asm5
149,1748,3,196,0.347082989,-0.07226834,1,24,5,,North-west Antarctic Peninsula,hab3_asm5
150,1748,3,198,-0.210327873,-0.363895849,2,7,4,1,North-west Antarctic Peninsula,hab3_asm4
151,1748,3,200,-0.07928094,-0.257272994,7,7,1,1,North-west Antarctic Peninsula,hab3_asm1
152,1748,3,201,-0.244191156,-0.136593034,1,1,1,1,North-west Antarctic Peninsula,hab3_asm1
153,17552,8,196,-0.410768835,-0.156784156,2;4,4,3,,Transantarctic Mountains,hab8_asm3
154,17575,8,199,0.128203423,-0.09101304,2,2,7,7,Marie Byrd Land,hab8_asm7
155,1766,3,198,0.353913356,0.217759485,3,3,7,7,North-east Antarctic Peninsula,hab3_asm7
156,1778,3,196,0.339056149,0.123507285,1,1,5,5,North-west Antarctic Peninsula,hab3_asm5
157,1778,3,200,-0.073548285,-0.24625374,6,6,4,4,North-west Antarctic Peninsula,hab3_asm4
158,1778,3,198,-0.316813478,-0.034202139,2,10,4,2,North-west Antarctic Peninsula,hab3_asm4
159,1778,3,197,-0.254180023,-0.12367262,1,3,5,7,North-west Antarctic Peninsula,hab3_asm5
160,1782,3,198,0.188941602,0.152915622,2,2,4,4,North-east Antarctic Peninsula,hab3_asm4
161,1788,3,198,0.309210484,0.219215343,3,3,7,7,North-east Antarctic Peninsula,hab3_asm7
162,1797,3,198,0.303988622,0.19176638,2;3,3,NA,7,North-east Antarctic Peninsula,hab3_asmNA
