"","Row.names","dom_habitat","decade","X1","X2","count","percent","grp.count","grp.percent","ACBR_Name","ecogroup"
"55","14725",7,"198",0.31532470915922,-0.0508580109062895,"2","2","1","1","East Antarctica","hab7_grp1"
"56","14725",7,"199",0.0921933590371864,0.220033381027698,"5","5","1","1","East Antarctica","hab7_grp1"
"57","14747",8,"198",0.233690606676666,0.14210554387534,"2","2","1","1","East Antarctica","hab8_grp1"
"58","14761",8,"200",0.211620170307121,-0.0921902652275662,"4","4","1","1","East Antarctica","hab8_grp1"
"59","14761",8,"198",0.312682906213797,0.0101845353294935,"2","2","1","1","East Antarctica","hab8_grp1"
"60","14761",8,"199",0.298648994037166,0.0322020958210763,"1","5","1","1","East Antarctica","hab8_grp1"
"61","148",1,"199",0.386708933268219,-0.0356858250870346,"1","1","1","1","Dronning Maud Land","hab1_grp1"
"62","14866",4,"200",-0.102972261511865,0.451623849281516,"3","3","1","1","South Antarctic Peninsula","hab4_grp1"
"63","14960",8,"197",0.575069917662383,-0.0360053226615122,"2","2","1","1","East Antarctica","hab8_grp1"
"64","14960",8,"198",0.358047379799936,0.0191747497882581,"2","5","1","1","East Antarctica","hab8_grp1"
"65","14960",8,"200",0.34679004480745,0.138582648969093,"5","4","1","1","East Antarctica","hab8_grp1"
"66","14960",8,"199",0.359251113177625,-0.0600895292596655,"1","5","1","1","East Antarctica","hab8_grp1"
"67","1501",3,"198",-0.468815065834033,-0.278053169408485,"3","3","3","3","North-west Antarctic Peninsula","hab3_grp3"
"68","15039",8,"198",0.430035728285206,-0.0526641764599943,"2","2","1","1","East Antarctica","hab8_grp1"
"69","151",1,"200",0.489600756692417,-0.0774519093516106,"5","5","1","1","Dronning Maud Land","hab1_grp1"
"70","1524",3,"201",0.137194896749132,-0.00625042417605822,NA,NA,"","","North-west Antarctic Peninsula","hab3_grp"
"71","1547",8,"196",-0.0798875508687842,-0.105014613671085,"3","3","1","1","Enderby Land","hab8_grp1"
"72","1547",8,"200",0.302770290003081,-0.130478400804205,"1;4","4","1;3","1","Enderby Land","hab8_grp1;3"
"73","1548",3,"198",-0.138789814598187,0.404147007278894,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"74","1553",3,"198",-0.130390531806637,0.490865041438303,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"75","1556",3,"198",-0.0571155563771257,0.315632855037151,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"76","156",1,"199",0.283652250272849,-0.057592894336434,"1","1","1","1","Dronning Maud Land","hab1_grp1"
"77","1569",3,"198",-0.140392132621315,0.493789005363602,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"78","1575",3,"196",-0.204123310786944,0.0120484361001779,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"79","1575",3,"198",-0.178392714545839,0.510325351961748,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"80","1575",3,"200",-0.206409475137228,0.281213542156999,"2","3","2","1","North-west Antarctic Peninsula","hab3_grp2"
"81","15968",8,"199",0.159636376097262,0.0835980529865621,"1","1","1","1","East Antarctica","hab8_grp1"
"82","16035",8,"198",0.22743336691409,0.00352727113580636,"2","5","1","1","Ellsworth Land","hab8_grp1"
"83","16058",3,"198",0.358924316467417,-0.202889977701531,"2","2","1","1","Ellsworth Land","hab3_grp1"
"84","1607",3,"198",-0.132656070573735,0.323175488704687,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"85","1607",3,"196",-0.245661012818419,0.0100117088308671,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"86","16111",8,"198",0.305701691521628,-0.0797232799007036,"2","2","1","1","Ellsworth Land","hab8_grp1"
"87","1613",3,"196",-0.259430831664193,-0.102171971054475,"1","3","2","1","North-west Antarctic Peninsula","hab3_grp2"
"88","1613",3,"198",-0.144818315243761,0.500050237894797,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"89","16142",3,"200",-0.25568431212414,0.303399799934848,"3","3","1","1","Ellsworth Land","hab3_grp1"
"90","16152",8,"198",0.183189224729343,0.0259021289030965,"1","2","2","1","Ellsworth Land","hab8_grp2"
"91","1629",3,"198",-0.0704368439570127,0.610543232805083,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"92","1629",3,"199",-0.35553138472638,0.408127325279595,"2;4;5","5","1;3","1","North-west Antarctic Peninsula","hab3_grp1;3"
"93","1629",3,"200",-0.0118759476287878,-0.367107244766929,"1","1","3","3","North-west Antarctic Peninsula","hab3_grp3"
"94","1629",3,"197",-0.196866420442703,-0.163924262588771,"3","3","2","2","North-west Antarctic Peninsula","hab3_grp2"
"95","16639",8,"200",-0.06972654165247,0.404905179720811,"3","3","1","1","East Antarctica","hab8_grp1"
"96","16968",8,"200",-0.0523477618906607,0.0318885389748585,"3;5","3","1","1","East Antarctica","hab8_grp1"
"97","16968",8,"198",0.412217400808928,-0.173909690918255,"2","2","1","1","East Antarctica","hab8_grp1"
"98","1699",3,"200",0.00833427102418163,-0.303377772543488,"1","1","3","3","North-west Antarctic Peninsula","hab3_grp3"
"99","1702",1,"196",0.0734993440386774,-0.184544502706249,"3","3","1","1","Dronning Maud Land","hab1_grp1"
"100","17032",8,"200",-0.26325225233475,0.458762251736327,"3","3","1","1","East Antarctica","hab8_grp1"
"101","1714",3,"198",-0.289544935966075,-0.269898490320946,"1","3","2","3","North-east Antarctic Peninsula","hab3_grp2"
"102","1714",3,"196",0.0547734867310312,0.280192691281084,"1","6","2","3","North-east Antarctic Peninsula","hab3_grp2"
"103","1726",3,"196",-0.0898813477452363,0.282564165385539,"1","6","2","3","North-west Antarctic Peninsula","hab3_grp2"
"104","1734",3,"200",-0.147744429610088,-0.0764958910063121,"3","3","1","1","North-west Antarctic Peninsula","hab3_grp1"
"105","1748",3,"196",-0.340535744131825,-0.0357716419833823,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"106","1748",3,"198",-0.115016252304385,0.342692501536746,"1","3","2","3","North-west Antarctic Peninsula","hab3_grp2"
"107","1748",3,"200",0.0368360372290959,-0.195913492756923,"1","1","3","3","North-west Antarctic Peninsula","hab3_grp3"
"108","17575",8,"199",0.109042558309444,0.129343149704233,"1","1","1","1","Marie Byrd Land","hab8_grp1"
"109","1766",3,"198",0.282309408980918,-0.143528766598127,"2","2","1","1","North-east Antarctic Peninsula","hab3_grp1"
"110","1778",3,"200",0.0797704942325493,-0.297453461167728,"1","1","3","3","North-west Antarctic Peninsula","hab3_grp3"
"111","1778",3,"198",-0.264362010787269,0.0794871206978169,"1","4","2","2","North-west Antarctic Peninsula","hab3_grp2"
"112","1778",3,"197",-0.248387911946577,-0.255943659827224,"3","3","2","2","North-west Antarctic Peninsula","hab3_grp2"
"113","1778",3,"196",-0.289793349768886,0.10900429855366,"1","5","2","3","North-west Antarctic Peninsula","hab3_grp2"
"114","1797",3,"198",0.256957092976175,-0.115867041818385,"1;2","2","1;2","1","North-east Antarctic Peninsula","hab3_grp1;2"
"115","1832",3,"198",-0.122608898439438,0.345830223375795,"1","1","2","2","North-west Antarctic Peninsula","hab3_grp2"
"116","1867",3,"198",0.146567968581922,-0.0888453032908286,"1","2","2","1","North-east Antarctic Peninsula","hab3_grp2"
"117","19013",8,"198",0.383912560848338,0.0166294907755716,"2","2","1","1","East Antarctica","hab8_grp1"
"118","19034",8,"199",0.255754717014512,0.025963819778942,"1","5","1","1","East Antarctica","hab8_grp1"
"119","19034",8,"200",0.370628433505227,-0.111732550642421,"5","4","1","1","East Antarctica","hab8_grp1"
"120","19034",8,"198",0.423911110731866,-0.0148620137572141,"2","2","1","1","East Antarctica","hab8_grp1"
"121","19034",8,"197",0.362601541952399,-0.203975781968899,"2","5","1","1","East Antarctica","hab8_grp1"
"122","19269",7,"200",-0.023948514716402,0.399887553615982,"3","3","1","1","South Victoria Land","hab7_grp1"
"123","1945",3,"198",0.00577940162502762,0.122228800848884,"1","5","2","1","North-east Antarctic Peninsula","hab3_grp2"
"124","19657",7,"200",0.500176341204169,-0.0733252841306237,"5","5","1","1","Marie Byrd Land","hab7_grp1"
