"","IFA","group","dom_habitat","ecogroup"
"684","2117",1,3,"hab3_grp1"
"685","21200",1,5,"hab5_grp1"
"686","21212",1,7,"hab7_grp1"
"687","2122",2,NA,"habNA_grp2"
"688","2124",1,NA,"habNA_grp1"
"689","21245",1,7,"hab7_grp1"
"690","21257",1,2,"hab2_grp1"
"691","2128",2,NA,"habNA_grp2"
"692","2130",2,3,"hab3_grp2"
"693","21332",1,7,"hab7_grp1"
"694","2135",2,NA,"habNA_grp2"
"695","21404",1,7,"hab7_grp1"
"696","21443",1,8,"hab8_grp1"
"697","2145",2,NA,"habNA_grp2"
"698","21462",1,7,"hab7_grp1"
"699","21475",1,8,"hab8_grp1"
"700","21498",1,5,"hab5_grp1"
"701","21511",1,2,"hab2_grp1"
"702","2152",1,NA,"habNA_grp1"
"703","2153",2,3,"hab3_grp2"
"704","2154",2,3,"hab3_grp2"
"705","21548",1,7,"hab7_grp1"
"706","2155",2,NA,"habNA_grp2"
"707","21615",1,7,"hab7_grp1"
"708","21705",1,7,"hab7_grp1"
"709","21709",1,2,"hab2_grp1"
"710","2171",2,3,"hab3_grp2"
"711","21794",1,7,"hab7_grp1"
"712","21830",1,8,"hab8_grp1"
"713","21884",3,8,"hab8_grp3"
"714","2190",2,NA,"habNA_grp2"
"715","21921",1,8,"hab8_grp1"
"716","21924",1,7,"hab7_grp1"
"717","21926",1,2,"hab2_grp1"
"718","21934",1,8,"hab8_grp1"
"719","2197",1,3,"hab3_grp1"
"720","2198",2,NA,"habNA_grp2"
"721","21997",1,7,"hab7_grp1"
"722","21999",1,8,"hab8_grp1"
"723","22",2,NA,"habNA_grp2"
"724","2200",3,NA,"habNA_grp3"
"725","22011",1,7,"hab7_grp1"
"726","2202",3,NA,"habNA_grp3"
"727","2205",3,NA,"habNA_grp3"
"728","2211",3,NA,"habNA_grp3"
"729","2213",2,NA,"habNA_grp2"
"730","2218",3,NA,"habNA_grp3"
"731","2219",2,3,"hab3_grp2"
"732","2222",3,NA,"habNA_grp3"
"733","2225",2,NA,"habNA_grp2"
"734","2230",2,NA,"habNA_grp2"
"735","22310",1,7,"hab7_grp1"
"736","2234",3,NA,"habNA_grp3"
"737","2243",3,NA,"habNA_grp3"
"738","2249",2,NA,"habNA_grp2"
"739","2254",2,3,"hab3_grp2"
"740","2257",1,3,"hab3_grp1"
"741","22670",1,8,"hab8_grp1"
"742","2269",2,3,"hab3_grp2"
"743","2270",2,3,"hab3_grp2"
"744","22791",3,7,"hab7_grp3"
"745","2286",2,NA,"habNA_grp2"
"746","2289",2,NA,"habNA_grp2"
"747","22924",1,NA,"habNA_grp1"
"748","22929",1,NA,"habNA_grp1"
"749","2296",2,3,"hab3_grp2"
"750","23",3,NA,"habNA_grp3"
"751","2302",2,3,"hab3_grp2"
"752","23079",1,2,"hab2_grp1"
"753","2309",2,3,"hab3_grp2"
"754","23105",1,NA,"habNA_grp1"
"755","23151",1,2,"hab2_grp1"
"756","23166",1,NA,"habNA_grp1"
"757","232",1,1,"hab1_grp1"
"758","23209",1,NA,"habNA_grp1"
"759","2321",2,3,"hab3_grp2"
"760","233",1,1,"hab1_grp1"
"761","23306",3,NA,"habNA_grp3"
"762","23317",3,NA,"habNA_grp3"
"763","2332",3,3,"hab3_grp3"
"764","23333",3,NA,"habNA_grp3"
"765","2334",1,3,"hab3_grp1"
"766","234",1,6,"hab6_grp1"
"767","23428",1,7,"hab7_grp1"
"768","23519",1,NA,"habNA_grp1"
"769","23560",1,8,"hab8_grp1"
"770","236",1,1,"hab1_grp1"
"771","2370",3,NA,"habNA_grp3"
"772","23716",1,NA,"habNA_grp1"
"773","2372",1,3,"hab3_grp1"
"774","2373",2,NA,"habNA_grp2"
"775","23792",1,8,"hab8_grp1"
"776","2381",1,NA,"habNA_grp1"
"777","23884",3,NA,"habNA_grp3"
"778","23908",1,NA,"habNA_grp1"
"779","2392",3,3,"hab3_grp3"
"780","24",2,NA,"habNA_grp2"
"781","2400",2,3,"hab3_grp2"
"782","24002",1,NA,"habNA_grp1"
"783","2402",2,NA,"habNA_grp2"
"784","24035",1,NA,"habNA_grp1"
"785","24072",1,7,"hab7_grp1"
"786","24134",1,NA,"habNA_grp1"
"787","24137",1,NA,"habNA_grp1"
"788","24186",3,8,"hab8_grp3"
"789","24347",1,NA,"habNA_grp1"
"790","2435",2,3,"hab3_grp2"
"791","2436",2,3,"hab3_grp2"
"792","24435",1,7,"hab7_grp1"
"793","24483",3,8,"hab8_grp3"
"794","24487",1,8,"hab8_grp1"
"795","24530",1,8,"hab8_grp1"
"796","24550",1,8,"hab8_grp1"
"797","24554",1,1,"hab1_grp1"
"798","24557",1,NA,"habNA_grp1"
"799","2456",2,NA,"habNA_grp2"
"800","24569",1,8,"hab8_grp1"
"801","24586",1,NA,"habNA_grp1"
"802","24598",1,8,"hab8_grp1"
"803","24619",1,NA,"habNA_grp1"
"804","24624",1,NA,"habNA_grp1"
"805","24639",1,NA,"habNA_grp1"
"806","24642",1,NA,"habNA_grp1"
"807","2465",2,3,"hab3_grp2"
"808","2468",2,NA,"habNA_grp2"
"809","2472",2,NA,"habNA_grp2"
"810","24725",1,7,"hab7_grp1"
"811","24734",1,7,"hab7_grp1"
"812","24753",3,8,"hab8_grp3"
"813","24760",1,7,"hab7_grp1"
"814","24767",1,NA,"habNA_grp1"
"815","2482",1,3,"hab3_grp1"
"816","2492",2,NA,"habNA_grp2"
"817","25",2,NA,"habNA_grp2"
"818","2514",2,3,"hab3_grp2"
"819","2552",2,NA,"habNA_grp2"
"820","2560",2,3,"hab3_grp2"
"821","2574",3,3,"hab3_grp3"
"822","2575",2,3,"hab3_grp2"
"823","2576",3,NA,"habNA_grp3"
"824","2579",2,3,"hab3_grp2"
"825","2589",1,3,"hab3_grp1"
"826","2597",2,3,"hab3_grp2"
"827","2598",2,3,"hab3_grp2"
"828","26",3,NA,"habNA_grp3"
"829","2602",1,3,"hab3_grp1"
"830","2614",2,NA,"habNA_grp2"
"831","2616",3,NA,"habNA_grp3"
"832","2644",2,NA,"habNA_grp2"
"833","2655",2,3,"hab3_grp2"
"834","2678",1,3,"hab3_grp1"
"835","2679",2,3,"hab3_grp2"
"836","2687",2,NA,"habNA_grp2"
"837","2692",2,3,"hab3_grp2"
"838","27",2,NA,"habNA_grp2"
"839","2700",3,NA,"habNA_grp3"
"840","2705",2,NA,"habNA_grp2"
"841","2706",2,NA,"habNA_grp2"
"842","2720",2,NA,"habNA_grp2"
"843","2723",2,NA,"habNA_grp2"
"844","2728",2,3,"hab3_grp2"
"845","2746",3,NA,"habNA_grp3"
"846","2764",1,3,"hab3_grp1"
"847","2776",2,NA,"habNA_grp2"
"848","2778",1,3,"hab3_grp1"
"849","2781",1,3,"hab3_grp1"
"850","2785",2,NA,"habNA_grp2"
"851","28",3,NA,"habNA_grp3"
"852","280",1,6,"hab6_grp1"
"853","2820",2,NA,"habNA_grp2"
"854","2913",2,NA,"habNA_grp2"
"855","2918",2,3,"hab3_grp2"
"856","2922",2,3,"hab3_grp2"
"857","2927",2,NA,"habNA_grp2"
"858","2939",2,NA,"habNA_grp2"
"859","2979",1,3,"hab3_grp1"
"860","3",2,NA,"habNA_grp2"
"861","3000",2,NA,"habNA_grp2"
"862","3011",2,3,"hab3_grp2"
"863","3013",2,NA,"habNA_grp2"
"864","3046",2,3,"hab3_grp2"
"865","3063",2,NA,"habNA_grp2"
"866","3064",2,3,"hab3_grp2"
"867","3074",2,NA,"habNA_grp2"
"868","3079",2,NA,"habNA_grp2"
"869","3081",3,NA,"habNA_grp3"
"870","3109",2,NA,"habNA_grp2"
"871","3116",2,NA,"habNA_grp2"
"872","3117",2,NA,"habNA_grp2"
"873","3123",2,NA,"habNA_grp2"
"874","3180",2,NA,"habNA_grp2"
"875","3181",2,NA,"habNA_grp2"
"876","32",3,NA,"habNA_grp3"
"877","3221",2,3,"hab3_grp2"
"878","3227",3,NA,"habNA_grp3"
"879","3233",2,NA,"habNA_grp2"
"880","3241",3,NA,"habNA_grp3"
"881","3247",3,3,"hab3_grp3"
"882","3253",2,NA,"habNA_grp2"
"883","3259",2,NA,"habNA_grp2"
"884","3261",3,3,"hab3_grp3"
"885","3268",2,NA,"habNA_grp2"
"886","3286",2,NA,"habNA_grp2"
"887","3296",2,NA,"habNA_grp2"
"888","3299",3,3,"hab3_grp3"
"889","33",2,NA,"habNA_grp2"
"890","3301",3,NA,"habNA_grp3"
"891","3307",2,NA,"habNA_grp2"
"892","3310",3,NA,"habNA_grp3"
"893","3318",3,NA,"habNA_grp3"
"894","3321",3,NA,"habNA_grp3"
"895","3331",2,NA,"habNA_grp2"
"896","3337",2,NA,"habNA_grp2"
"897","3339",2,NA,"habNA_grp2"
"898","3344",2,NA,"habNA_grp2"
"899","3345",3,NA,"habNA_grp3"
"900","3346",2,NA,"habNA_grp2"
"901","3351",2,NA,"habNA_grp2"
"902","3354",3,NA,"habNA_grp3"
"903","337",1,1,"hab1_grp1"
"904","3371",2,NA,"habNA_grp2"
"905","3375",2,NA,"habNA_grp2"
"906","3378",2,NA,"habNA_grp2"
"907","34",2,NA,"habNA_grp2"
"908","3402",1,NA,"habNA_grp1"
"909","3422",1,NA,"habNA_grp1"
"910","3424",3,NA,"habNA_grp3"
"911","3431",1,NA,"habNA_grp1"
"912","3472",1,NA,"habNA_grp1"
"913","3475",2,NA,"habNA_grp2"
"914","3483",2,NA,"habNA_grp2"
"915","3489",3,NA,"habNA_grp3"
"916","3491",2,NA,"habNA_grp2"
"917","3492",2,NA,"habNA_grp2"
"918","35",2,NA,"habNA_grp2"
"919","3510",3,NA,"habNA_grp3"
"920","3525",2,3,"hab3_grp2"
"921","3553",2,NA,"habNA_grp2"
"922","3570",2,NA,"habNA_grp2"
"923","3582",3,NA,"habNA_grp3"
"924","359",3,1,"hab1_grp3"
"925","3597",2,NA,"habNA_grp2"
"926","36",2,NA,"habNA_grp2"
"927","3605",3,NA,"habNA_grp3"
"928","3614",2,3,"hab3_grp2"
"929","3651",3,3,"hab3_grp3"
"930","3654",3,3,"hab3_grp3"
"931","3663",3,NA,"habNA_grp3"
"932","3673",2,NA,"habNA_grp2"
"933","3694",3,NA,"habNA_grp3"
"934","3695",2,3,"hab3_grp2"
"935","37",2,NA,"habNA_grp2"
"936","3714",3,NA,"habNA_grp3"
"937","3721",2,3,"hab3_grp2"
"938","3744",3,NA,"habNA_grp3"
"939","3763",2,NA,"habNA_grp2"
"940","3767",2,3,"hab3_grp2"
"941","3778",3,NA,"habNA_grp3"
"942","3785",2,NA,"habNA_grp2"
"943","38",2,NA,"habNA_grp2"
"944","3803",3,3,"hab3_grp3"
"945","3814",2,NA,"habNA_grp2"
"946","3823",2,3,"hab3_grp2"
"947","3824",3,NA,"habNA_grp3"
"948","3826",3,3,"hab3_grp3"
"949","3831",3,NA,"habNA_grp3"
"950","3845",3,3,"hab3_grp3"
"951","3852",2,NA,"habNA_grp2"
"952","3888",2,3,"hab3_grp2"
"953","3893",3,NA,"habNA_grp3"
"954","3905",2,NA,"habNA_grp2"
"955","3907",3,3,"hab3_grp3"
"956","3917",2,NA,"habNA_grp2"
"957","3919",2,3,"hab3_grp2"
"958","3921",3,NA,"habNA_grp3"
"959","3938",1,3,"hab3_grp1"
"960","3983",2,NA,"habNA_grp2"
"961","3989",3,NA,"habNA_grp3"
"962","40",2,NA,"habNA_grp2"
"963","4002",2,3,"hab3_grp2"
"964","4016",2,NA,"habNA_grp2"
"965","4065",2,NA,"habNA_grp2"
"966","4081",2,3,"hab3_grp2"
"967","4102",2,3,"hab3_grp2"
"968","4108",2,NA,"habNA_grp2"
"969","4114",3,NA,"habNA_grp3"
"970","4129",3,NA,"habNA_grp3"
"971","4134",3,3,"hab3_grp3"
"972","4138",2,3,"hab3_grp2"
"973","4140",3,NA,"habNA_grp3"
"974","4142",3,NA,"habNA_grp3"
"975","4144",2,3,"hab3_grp2"
"976","4148",2,3,"hab3_grp2"
"977","4150",2,3,"hab3_grp2"
"978","4151",2,NA,"habNA_grp2"
"979","4163",1,3,"hab3_grp1"
"980","418",1,1,"hab1_grp1"
"981","4187",2,NA,"habNA_grp2"
"982","4197",1,8,"hab8_grp1"
"983","42",2,NA,"habNA_grp2"
"984","4224",3,NA,"habNA_grp3"
"985","4227",3,NA,"habNA_grp3"
"986","4245",2,NA,"habNA_grp2"
"987","4252",2,NA,"habNA_grp2"
"988","4274",2,NA,"habNA_grp2"
"989","4287",1,7,"hab7_grp1"
"990","4288",3,NA,"habNA_grp3"
"991","4319",2,3,"hab3_grp2"
"992","4322",1,8,"hab8_grp1"
"993","4326",2,NA,"habNA_grp2"
"994","4351",3,NA,"habNA_grp3"
"995","437",1,1,"hab1_grp1"
"996","4388",2,3,"hab3_grp2"
"997","4436",2,NA,"habNA_grp2"
"998","4439",3,NA,"habNA_grp3"
"999","4444",2,NA,"habNA_grp2"
"1000","4449",1,NA,"habNA_grp1"
"1001","4450",2,3,"hab3_grp2"
"1002","4492",2,3,"hab3_grp2"
"1003","4496",1,8,"hab8_grp1"
"1004","4570",2,3,"hab3_grp2"
"1005","4572",3,3,"hab3_grp3"
"1006","4580",2,3,"hab3_grp2"
"1007","4582",1,NA,"habNA_grp1"
"1008","4600",2,3,"hab3_grp2"
"1009","4614",2,3,"hab3_grp2"
"1010","4625",2,3,"hab3_grp2"
"1011","4689",2,3,"hab3_grp2"
"1012","4698",2,3,"hab3_grp2"
"1013","47",2,NA,"habNA_grp2"
"1014","4707",2,3,"hab3_grp2"
"1015","4745",1,NA,"habNA_grp1"
"1016","4767",3,NA,"habNA_grp3"
"1017","4776",3,NA,"habNA_grp3"
"1018","4777",2,NA,"habNA_grp2"
"1019","4781",2,3,"hab3_grp2"
"1020","4787",2,3,"hab3_grp2"
"1021","4801",1,3,"hab3_grp1"
"1022","4820",3,NA,"habNA_grp3"
"1023","4834",2,NA,"habNA_grp2"
"1024","488",1,1,"hab1_grp1"
"1025","489",1,1,"hab1_grp1"
"1026","4891",3,NA,"habNA_grp3"
"1027","4896",2,3,"hab3_grp2"
"1028","4904",1,3,"hab3_grp1"
"1029","4914",1,3,"hab3_grp1"
"1030","4974",1,3,"hab3_grp1"
"1031","4977",2,3,"hab3_grp2"
"1032","4978",2,NA,"habNA_grp2"
"1033","4985",3,3,"hab3_grp3"
"1034","4986",3,NA,"habNA_grp3"
"1035","4997",2,NA,"habNA_grp2"
"1036","4999",3,NA,"habNA_grp3"
"1037","5",2,NA,"habNA_grp2"
"1038","5002",1,NA,"habNA_grp1"
"1039","5006",2,NA,"habNA_grp2"
"1040","5007",2,3,"hab3_grp2"
"1041","5011",3,NA,"habNA_grp3"
"1042","5013",2,NA,"habNA_grp2"
"1043","5014",3,NA,"habNA_grp3"
"1044","5020",1,8,"hab8_grp1"
"1045","5029",3,NA,"habNA_grp3"
"1046","5033",2,NA,"habNA_grp2"
"1047","5037",2,NA,"habNA_grp2"
"1048","5045",3,NA,"habNA_grp3"
"1049","5069",3,NA,"habNA_grp3"
"1050","5075",2,3,"hab3_grp2"
"1051","5079",1,8,"hab8_grp1"
"1052","5087",2,3,"hab3_grp2"
"1053","5089",2,NA,"habNA_grp2"
"1054","509",1,1,"hab1_grp1"
"1055","5108",1,3,"hab3_grp1"
"1056","5112",2,NA,"habNA_grp2"
"1057","5113",1,3,"hab3_grp1"
"1058","5125",1,NA,"habNA_grp1"
"1059","5130",2,3,"hab3_grp2"
"1060","5138",1,8,"hab8_grp1"
"1061","5143",2,NA,"habNA_grp2"
"1062","5158",1,8,"hab8_grp1"
"1063","5161",1,8,"hab8_grp1"
"1064","5169",1,NA,"habNA_grp1"
"1065","5180",1,NA,"habNA_grp1"
"1066","5184",2,3,"hab3_grp2"
"1067","5197",2,NA,"habNA_grp2"
"1068","520",1,1,"hab1_grp1"
"1069","5210",3,NA,"habNA_grp3"
"1070","5226",1,3,"hab3_grp1"
"1071","5267",2,3,"hab3_grp2"
"1072","5268",2,NA,"habNA_grp2"
"1073","5275",2,NA,"habNA_grp2"
"1074","5285",1,8,"hab8_grp1"
"1075","5295",3,NA,"habNA_grp3"
"1076","5298",3,NA,"habNA_grp3"
"1077","53",2,NA,"habNA_grp2"
"1078","5309",2,NA,"habNA_grp2"
"1079","5316",2,3,"hab3_grp2"
"1080","5325",1,3,"hab3_grp1"
"1081","5341",1,3,"hab3_grp1"
"1082","5347",3,NA,"habNA_grp3"
"1083","5356",2,NA,"habNA_grp2"
"1084","5359",2,3,"hab3_grp2"
"1085","5363",1,1,"hab1_grp1"
"1086","5372",3,NA,"habNA_grp3"
"1087","5373",3,NA,"habNA_grp3"
"1088","5375",1,3,"hab3_grp1"
"1089","5381",2,NA,"habNA_grp2"
"1090","5383",2,NA,"habNA_grp2"
"1091","5386",3,NA,"habNA_grp3"
"1092","5388",3,NA,"habNA_grp3"
"1093","54",2,NA,"habNA_grp2"
"1094","5430",3,3,"hab3_grp3"
"1095","5456",1,8,"hab8_grp1"
"1096","5466",3,NA,"habNA_grp3"
"1097","5531",2,3,"hab3_grp2"
"1098","5536",1,4,"hab4_grp1"
"1099","5543",3,NA,"habNA_grp3"
"1100","5552",1,8,"hab8_grp1"
"1101","5559",3,NA,"habNA_grp3"
"1102","5565",1,NA,"habNA_grp1"
"1103","5575",1,NA,"habNA_grp1"
"1104","5578",2,3,"hab3_grp2"
"1105","5596",3,NA,"habNA_grp3"
"1106","5599",2,3,"hab3_grp2"
"1107","56",2,NA,"habNA_grp2"
"1108","5606",2,NA,"habNA_grp2"
"1109","561",3,1,"hab1_grp3"
"1110","5619",2,NA,"habNA_grp2"
"1111","5649",1,NA,"habNA_grp1"
"1112","5650",2,3,"hab3_grp2"
"1113","5653",2,3,"hab3_grp2"
"1114","5655",2,3,"hab3_grp2"
"1115","5669",2,NA,"habNA_grp2"
"1116","5710",2,3,"hab3_grp2"
"1117","5740",1,NA,"habNA_grp1"
"1118","5745",1,NA,"habNA_grp1"
"1119","5781",1,7,"hab7_grp1"
"1120","5792",1,8,"hab8_grp1"
"1121","5797",3,NA,"habNA_grp3"
"1122","5799",1,4,"hab4_grp1"
"1123","58",2,NA,"habNA_grp2"
"1124","582",1,1,"hab1_grp1"
"1125","5836",3,NA,"habNA_grp3"
"1126","5859",3,NA,"habNA_grp3"
"1127","5866",1,NA,"habNA_grp1"
"1128","5876",3,NA,"habNA_grp3"
"1129","5910",3,NA,"habNA_grp3"
"1130","5912",1,8,"hab8_grp1"
"1131","5915",1,NA,"habNA_grp1"
"1132","5920",1,1,"hab1_grp1"
"1133","5927",1,NA,"habNA_grp1"
"1134","5953",1,1,"hab1_grp1"
"1135","5954",1,NA,"habNA_grp1"
"1136","5968",3,NA,"habNA_grp3"
"1137","5983",1,NA,"habNA_grp1"
"1138","6",3,NA,"habNA_grp3"
"1139","6011",1,8,"hab8_grp1"
"1140","6015",1,3,"hab3_grp1"
"1141","6024",2,3,"hab3_grp2"
"1142","6040",1,3,"hab3_grp1"
"1143","6064",2,3,"hab3_grp2"
"1144","6067",1,4,"hab4_grp1"
"1145","6086",3,NA,"habNA_grp3"
"1146","6107",1,NA,"habNA_grp1"
"1147","6116",1,1,"hab1_grp1"
"1148","6139",1,NA,"habNA_grp1"
"1149","6147",2,3,"hab3_grp2"
"1150","6158",3,NA,"habNA_grp3"
"1151","6180",1,NA,"habNA_grp1"
"1152","62",3,NA,"habNA_grp3"
"1153","6209",1,1,"hab1_grp1"
"1154","6214",1,NA,"habNA_grp1"
"1155","6218",1,1,"hab1_grp1"
"1156","6233",3,1,"hab1_grp3"
"1157","6244",3,1,"hab1_grp3"
"1158","6269",1,3,"hab3_grp1"
"1159","6275",3,NA,"habNA_grp3"
"1160","6283",3,1,"hab1_grp3"
"1161","6313",1,NA,"habNA_grp1"
"1162","6337",1,NA,"habNA_grp1"
"1163","64",2,NA,"habNA_grp2"
"1164","6433",2,NA,"habNA_grp2"
"1165","6461",1,NA,"habNA_grp1"
"1166","647",1,6,"hab6_grp1"
"1167","6489",2,1,"hab1_grp2"
"1168","65",3,NA,"habNA_grp3"
"1169","6526",1,NA,"habNA_grp1"
"1170","6535",1,1,"hab1_grp1"
"1171","6592",1,1,"hab1_grp1"
"1172","6608",2,3,"hab3_grp2"
"1173","6682",2,3,"hab3_grp2"
"1174","67",2,NA,"habNA_grp2"
"1175","6782",1,8,"hab8_grp1"
"1176","682",1,1,"hab1_grp1"
"1177","6828",1,NA,"habNA_grp1"
"1178","6843",1,8,"hab8_grp1"
"1179","6863",1,8,"hab8_grp1"
"1180","6866",2,NA,"habNA_grp2"
"1181","6878",1,8,"hab8_grp1"
"1182","6886",1,8,"hab8_grp1"
"1183","6906",2,8,"hab8_grp2"
"1184","6944",1,8,"hab8_grp1"
"1185","7",2,NA,"habNA_grp2"
"1186","70",3,NA,"habNA_grp3"
"1187","7015",2,8,"hab8_grp2"
"1188","7031",1,8,"hab8_grp1"
"1189","7062",2,3,"hab3_grp2"
"1190","7071",1,NA,"habNA_grp1"
"1191","7097",3,NA,"habNA_grp3"
"1192","710",1,1,"hab1_grp1"
"1193","7103",1,3,"hab3_grp1"
"1194","711",2,NA,"habNA_grp2"
"1195","7111",1,8,"hab8_grp1"
"1196","7136",3,NA,"habNA_grp3"
"1197","717",2,NA,"habNA_grp2"
"1198","7191",1,NA,"habNA_grp1"
"1199","7224",1,NA,"habNA_grp1"
"1200","7233",1,NA,"habNA_grp1"
"1201","7257",2,NA,"habNA_grp2"
"1202","726",2,NA,"habNA_grp2"
"1203","7275",1,NA,"habNA_grp1"
"1204","7347",3,NA,"habNA_grp3"
"1205","736",2,NA,"habNA_grp2"
"1206","7375",1,8,"hab8_grp1"
"1207","740",3,NA,"habNA_grp3"
"1208","7428",3,8,"hab8_grp3"
"1209","7455",1,8,"hab8_grp1"
"1210","747",2,NA,"habNA_grp2"
"1211","748",2,NA,"habNA_grp2"
"1212","7492",1,8,"hab8_grp1"
"1213","756",2,NA,"habNA_grp2"
"1214","76",2,NA,"habNA_grp2"
"1215","760",2,NA,"habNA_grp2"
"1216","7603",1,8,"hab8_grp1"
"1217","761",2,NA,"habNA_grp2"
"1218","762",2,NA,"habNA_grp2"
"1219","763",2,NA,"habNA_grp2"
"1220","765",3,NA,"habNA_grp3"
"1221","767",2,NA,"habNA_grp2"
"1222","7683",1,8,"hab8_grp1"
"1223","7692",1,8,"hab8_grp1"
"1224","77",2,NA,"habNA_grp2"
"1225","7710",1,8,"hab8_grp1"
"1226","7726",2,3,"hab3_grp2"
"1227","773",2,NA,"habNA_grp2"
"1228","777",2,NA,"habNA_grp2"
"1229","7783",1,4,"hab4_grp1"
"1230","781",2,NA,"habNA_grp2"
"1231","782",2,NA,"habNA_grp2"
"1232","7838",1,8,"hab8_grp1"
"1233","786",3,NA,"habNA_grp3"
"1234","787",2,NA,"habNA_grp2"
"1235","799",2,NA,"habNA_grp2"
"1236","8",3,NA,"habNA_grp3"
"1237","805",2,NA,"habNA_grp2"
"1238","808",2,NA,"habNA_grp2"
"1239","8120",1,8,"hab8_grp1"
"1240","8148",1,8,"hab8_grp1"
"1241","816",2,NA,"habNA_grp2"
"1242","821",2,NA,"habNA_grp2"
"1243","8219",1,4,"hab4_grp1"
"1244","823",1,1,"hab1_grp1"
"1245","825",2,NA,"habNA_grp2"
"1246","826",1,6,"hab6_grp1"
"1247","828",1,1,"hab1_grp1"
"1248","83",2,NA,"habNA_grp2"
"1249","8324",1,8,"hab8_grp1"
"1250","8343",1,7,"hab7_grp1"
"1251","8357",1,8,"hab8_grp1"
"1252","837",1,1,"hab1_grp1"
"1253","8371",1,8,"hab8_grp1"
"1254","84",2,NA,"habNA_grp2"
"1255","8405",1,1,"hab1_grp1"
"1256","8449",2,NA,"habNA_grp2"
"1257","846",1,4,"hab4_grp1"
"1258","8521",1,4,"hab4_grp1"
"1259","8569",1,8,"hab8_grp1"
"1260","8574",1,8,"hab8_grp1"
"1261","8605",2,3,"hab3_grp2"
"1262","861",1,1,"hab1_grp1"
"1263","8613",1,8,"hab8_grp1"
"1264","8684",1,3,"hab3_grp1"
"1265","87",2,NA,"habNA_grp2"
"1266","8752",1,3,"hab3_grp1"
"1267","8786",1,3,"hab3_grp1"
"1268","8803",2,NA,"habNA_grp2"
"1269","8816",1,4,"hab4_grp1"
"1270","8826",1,8,"hab8_grp1"
"1271","883",2,NA,"habNA_grp2"
"1272","8929",1,6,"hab6_grp1"
"1273","897",1,1,"hab1_grp1"
"1274","9",2,NA,"habNA_grp2"
"1275","90",2,NA,"habNA_grp2"
"1276","900",3,1,"hab1_grp3"
"1277","9001",3,NA,"habNA_grp3"
"1278","9020",1,4,"hab4_grp1"
"1279","9074",1,8,"hab8_grp1"
"1280","9083",1,8,"hab8_grp1"
"1281","91",2,NA,"habNA_grp2"
"1282","910",1,8,"hab8_grp1"
"1283","9101",2,3,"hab3_grp2"
"1284","9171",1,1,"hab1_grp1"
"1285","920",1,NA,"habNA_grp1"
"1286","924",1,NA,"habNA_grp1"
"1287","927",1,NA,"habNA_grp1"
"1288","9290",1,8,"hab8_grp1"
"1289","93",2,NA,"habNA_grp2"
"1290","934",1,8,"hab8_grp1"
"1291","9350",1,3,"hab3_grp1"
"1292","9358",2,3,"hab3_grp2"
"1293","943",2,NA,"habNA_grp2"
"1294","9446",1,NA,"habNA_grp1"
"1295","945",1,NA,"habNA_grp1"
"1296","9474",2,3,"hab3_grp2"
"1297","948",1,8,"hab8_grp1"
"1298","9497",1,4,"hab4_grp1"
"1299","95",3,NA,"habNA_grp3"
"1300","952",1,8,"hab8_grp1"
"1301","953",1,1,"hab1_grp1"
"1302","956",1,NA,"habNA_grp1"
"1303","958",2,NA,"habNA_grp2"
"1304","9584",2,3,"hab3_grp2"
"1305","961",3,1,"hab1_grp3"
"1306","9617",2,3,"hab3_grp2"
"1307","962",1,NA,"habNA_grp1"
"1308","9621",1,1,"hab1_grp1"
"1309","9622",1,3,"hab3_grp1"
"1310","9637",1,4,"hab4_grp1"
"1311","9659",1,3,"hab3_grp1"
"1312","966",1,1,"hab1_grp1"
"1313","9674",1,6,"hab6_grp1"
"1314","9676",2,3,"hab3_grp2"
"1315","97",2,NA,"habNA_grp2"
"1316","974",2,NA,"habNA_grp2"
"1317","9760",1,3,"hab3_grp1"
"1318","98",3,NA,"habNA_grp3"
"1319","9806",3,3,"hab3_grp3"
"1320","981",1,8,"hab8_grp1"
"1321","982",1,8,"hab8_grp1"
"1322","9822",2,NA,"habNA_grp2"
"1323","9856",2,NA,"habNA_grp2"
"1324","9894",1,3,"hab3_grp1"
"1325","99",2,NA,"habNA_grp2"
"1326","9911",1,NA,"habNA_grp1"
"1327","9920",1,NA,"habNA_grp1"
"1328","9948",1,3,"hab3_grp1"
"1329","995",1,1,"hab1_grp1"
"1330","9966",3,3,"hab3_grp3"
"1331","9984",1,NA,"habNA_grp1"
